device.display_name,device.hostname,device.serial_number,device.primary_system_user_id,device.os,device.os_version,device.agent_version,device.agent_reporting_status,device.last_contact,device.mdm_enrolled,device.disk_encrypted
USATP - 0532,C0652F2VJW,C0652F2VJW,627d3dfd8c8fcc505a4453e4,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0533,CFH0JCQVVM,CFH0JCQVVM,6308f78512d3f30731dfc1b2,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0534,CJ4R6FJ46T,CJ4R6FJ46T,627d3b05a817ef33ec2157c3,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0535,CKX9JD2QH1,CKX9JD2QH1,65f4927b26bb0e38374a17b8,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0536,CQP9XTP6M1,CQP9XTP6M1,61b8fcf17da2c60b440b133f,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0537,CQX4YPP4F7,CQX4YPP4F7,673fccad61b0302b4fb28c7c,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0539,CVWRV0R79N,CVWRV0R79N,683e0617d60397822e0cac21,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0540,CY6599V4P5,CY6599V4P5,612e33f6b799546a30788bad,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0541,D1W3G4GLFG,D1W3G4GLFG,,Mac OS X,26.4.1.25E253,2.115.0,Inactive,2026-05-05T20:38:49Z,Enrolled with Jumpcloud,true
USATP - 0542,D6MQ2NYPH3,D6MQ2NYPH3,68f00320bd80d3f8d17c6c58,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0543,DD6GMK39NC,DD6GMK39NC,6298b74561d5592cc862c8e2,Mac OS X,26.5.25F71,2.138.3,Inactive,2026-06-23T04:15:11.175Z,Enrolled with Jumpcloud,true
USATP - 0544,DDQMC24YTQ,DDQMC24YTQ,,Mac OS X,26.3.25D125,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0545,DYL9VMFPH9,DYL9VMFPH9,6022ce204f6b037f0d9e3eff,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0546,F2QWD4QTJQ,F2QWD4QTJQ,66f7237004e20c27e8f747d9,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0547,F46WQYVN2G,F46WQYVN2G,60c211cc9dfc0e735c5c7084,Mac OS X,26.5.25F71,2.138.3,Inactive,2026-06-18T22:34:50Z,Enrolled with Jumpcloud,true
USATP - 0548,F93KXYC6J2,F93KXYC6J2,6205a2d4c75b1405a4e1eebf,Mac OS X,26.5.25F71,2.138.3,Inactive,2026-06-23T09:09:47Z,Enrolled with Jumpcloud,true
USATP - 0549,FG6YR337K0,FG6YR337K0,683dd5ce464a74b33679a1c8,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0550,FN43M4HNHY,FN43M4HNHY,669a7602e1974a25e9875436,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0551,FWNL91YH5G,FWNL91YH5G,60ef47e82ab7cb6b773d9d79,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0552,FWTGF43T6T,FWTGF43T6T,63ff86083be3ab06e86176b1,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0553,FWYPFCM70L,FWYPFCM70L,62bdcc8e4e598d768765388f,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0554,GF49LH4651,GF49LH4651,617b1e6616f81813f81acc2f,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0555,GPR9KXL4QL,GPR9KXL4QL,608855bf5bc9de28ec27d6e9,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0556,GTDJN2593Y,GTDJN2593Y,612a8a230a1e000b8e1bf00e,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0557,GV9LT4DFP3,GV9LT4DFP3,6a17510a79c94ded42e9939f,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0559 MBA,H25C4YHM96,H25C4YHM96,6627d80d3b362c9872f89e4a,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0560,H29Y0H10DX,H29Y0H10DX,68655cc55cba011bf25a3612,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0561 MBA,H71H9F6P2T,H71H9F6P2T,641b39ef966d57da742810c1,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0562,H9DX3D61TD,H9DX3D61TD,617069e26d91390f5701de56,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0563,HDXCX2R7R9,HDXCX2R7R9,6862e396efd42a34f452a6f8,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0564,HJ2VY3KWG2,HJ2VY3KWG2,60b11907153f312be0d55f4e,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0565,HQCJQ3G79H,HQCJQ3G79H,610c3c11b4dc1e0e299ad51b,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0566,HQXNN4N72Q,HQXNN4N72Q,63e3ccf39168a4057a8a0ed1,Mac OS X,26.5.25F71,2.138.3,Inactive,2026-06-19T11:21:52Z,Enrolled with Jumpcloud,true
USATP - 0567,HT4W36QQDR,HT4W36QQDR,612a8a1e0a1e000b8e1bf00c,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0568,HXYVFD2MF6,HXYVFD2MF6,61e6e092362a2811edfa4e32,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0569,J2FH4R3YXD,J2FH4R3YXD,65df980c182d2fd8c191ddc2,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0570,J4VJH4JXC4,J4VJH4JXC4,5faa9b81884fae7f32d39e42,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0571,J7427JC7C3,J7427JC7C3,65f4927b8b63d2b830e745cb,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0572,J7CTXMQ0NQ,J7CTXMQ0NQ,6658bc2ef977c6b7f340f0d3,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0573,JG4P7QM2ND,JG4P7QM2ND,69e9406a53a7a7b768ab91cd,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0574,JGWQ6GCXCK,JGWQ6GCXCK,612cf43e8cc16c46b9f583a7,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0575,JJDV000JXN,JJDV000JXN,6604906b769c8c355d53ebdd,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0576,JMQ1VR46WW,JMQ1VR46WW,65c3d7b2292c800cffe90acd,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0577,JMT69QKVDW,JMT69QKVDW,6012dd15b2950e3dd63442b3,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0578,K0WW9TKW42,K0WW9TKW42,65983c302a990797f0d72a6f,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0579,K2VQ3P4N71,K2VQ3P4N71,63a34eccf0362a2ddc666c8f,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0580,KKG1CQ2Q0P,KKG1CQ2Q0P,659dc8972513fcdfd9a2babb,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0581,KWM7NGQQK6,KWM7NGQQK6,6144bfafb103ee6cd47d14b2,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0582,L9KT0JNR97,L9KT0JNR97,643805b983fc34ec8410a9c1,Mac OS X,26.5.25F71,2.138.3,Inactive,2026-06-21T01:58:50Z,Enrolled with Jumpcloud,true
USATP - 0583,LVF23CQQLN,LVF23CQQLN,62059fc2a828d274476cefdf,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0584,M4XJ9YH7D0,M4XJ9YH7D0,67ad2bb87e53598aa829a063,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0585,MD7V9M5YC2,MD7V9M5YC2,65316fb160a2f305bad4d776,Mac OS X,26.5.25F71,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0586,MGVV534K44,MGVV534K44,612ab8165d1f102fbacab2b3,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0587 MBA,MR9X4XDJNJ,MR9X4XDJNJ,61045181d5ddcd515afe5ed4,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0588,FW2KPWNTHV,FW2KPWNTHV,6093f8271423f906ad40fef6,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0589,HW0W04CR65,HW0W04CR65,5ff6345b2d9f462155cef3e9,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0590,KFCX6C16T6,KFCX6C16T6,5f4f0a1e683b0c3ce0095817,Mac OS X,26.5.25F71,2.131.3,Inactive,2026-06-23T07:52:22.984Z,Enrolled with Jumpcloud,true
USATP - 0591,JD7RQF4KCW,JD7RQF4KCW,69bb18a1208002ad8da2affc,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0592,CJQ23NVF6K,CJQ23NVF6K,69c6bdce78636602eee9f879,Mac OS X,26.5.25F71,2.138.3,Inactive,2026-06-22T16:45:48Z,Enrolled with Jumpcloud,true
USATP - 0593,JDQ96MN4P0,JDQ96MN4P0,69d6ba9f9c5ed21ff96e71cd,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0594,JTQ659546Y,JTQ659546Y,69e92ff788e4c69fc7f362c3,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0605,JD60V205WX,JD60V205WX,5ff28bc7fe04af09e9e5f71c,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
