device.display_name,device.hostname,device.id,device.primary_system_user_id,device.os,device.os_version,device.agent_reporting_status,device.last_contact,device_system_detail.uptime,device.hardware_vendor,device.hardware_model,device.serial_number,device.architecture,device_system_detail.memory,device_disk_summary.primary_free,device_disk_summary.primary_used,device_system_detail.cpu_brand,device_system_detail.cpu
USATP-0167 MBA,FVFG77VAQ6LR,660496da31f30d40d60d6136,,Mac OS X,26.1.25B78,Inactive,2026-02-17T21:58:53Z,2.464567e+06,Apple Inc.,"MacBookAir10,1",FVFG77VAQ6LR,arm64,1.7179869184e+10,1.1975176192e+11,1.25355433984e+11,Apple M1,arm64e ARM64E
USATP - 0168 MBA,FVFG7CTBQ6LR,66d8b70f04fc3685ea5cd887,,Mac OS X,26.2.25C56,Inactive,2026-02-17T21:00:05.797Z,167206,Apple Inc.,"MacBookAir10,1",FVFG7CTBQ6LR,arm64,1.7179869184e+10,1.5486447616e+11,9.0242719744e+10,Apple M1,arm64e ARM64E
USATP-0169 MBA,FVFG77D4Q6LR,612d3bcf44744017d8853360,,Mac OS X,26.2.25C56,Inactive,2026-01-15T11:51:00Z,874534,Apple Inc.,"MacBookAir10,1",FVFG77D4Q6LR,arm64,1.7179869184e+10,1.42392803328e+11,1.02714392576e+11,Apple M1,arm64e ARM64E
USATP - 0170 MBA,FVFG7A7RQ6LR,6144c0036ba1b317c954a76e,6144bfafb103ee6cd47d14b2,Mac OS X,26.2.25C56,Inactive,2026-02-17T18:33:58Z,1.132496e+06,Apple Inc.,"MacBookAir10,1",FVFG7A7RQ6LR,arm64,1.7179869184e+10,1.53224085504e+11,9.18831104e+10,Apple M1,arm64e ARM64E
USATP-0176 MBA,FVFG7CU8Q6LR,61b28556054aec0927b5fc76,,Mac OS X,26.0.1.25A362,Inactive,2026-02-16T22:42:02Z,,Apple Inc.,"MacBookAir10,1",FVFG7CU8Q6LR,arm64,1.7179869184e+10,,,Apple M1,arm64e ARM64E
USATP - 0177,usatestprep-MacBook-Air,698a7bd5f3dd58a452365250,5f4f0a1e683b0c3ce0095817,Mac OS X,15.7.3.24G419,Inactive,2026-02-17T18:06:04Z,,Apple Inc.,"MacBookAir10,1",FVFG77MFQ6LR,arm64,,,,,
USATP-0178 MBA,FVFG7A9NQ6LR,65b7c24765bf45cf6222fcb1,,Mac OS X,26.2.25C56,Inactive,2026-01-13T18:56:17Z,789868,Apple Inc.,"MacBookAir10,1",FVFG7A9NQ6LR,arm64,1.7179869184e+10,1.70359062528e+11,7.4748133376e+10,Apple M1,arm64e ARM64E
USATP-0179 MBA,FVFG7CY2Q6LR,6135b742815b230a72427085,,Mac OS X,26.1.25B78,Inactive,2026-01-29T18:43:24.597Z,3.978967e+06,Apple Inc.,"MacBookAir10,1",FVFG7CY2Q6LR,arm64,1.7179869184e+10,9.9308978176e+10,1.45798217728e+11,Apple M1,arm64e ARM64E
USATP-0180 MBA,FVFG7D46Q6LR,612a928726ac7c67a7f1a258,,Mac OS X,26.1.25B78,Inactive,2026-01-13T18:49:02Z,491930,Apple Inc.,"MacBookAir10,1",FVFG7D46Q6LR,arm64,1.7179869184e+10,1.36823345152e+11,1.08283850752e+11,Apple M1,arm64e ARM64E
USATP-0182 MBA,FVFG7DB2Q6LR,612ce0c021729971004a24db,,Mac OS X,26.1.25B78,Inactive,2026-01-14T21:08:25Z,2.747768e+06,Apple Inc.,"MacBookAir10,1",FVFG7DB2Q6LR,arm64,1.7179869184e+10,1.2470769664e+11,1.20399499264e+11,Apple M1,arm64e ARM64E
