Device ID,Device Name,Device Category,Device Type,Device Subtype,Discovery sources,Domain,AAD Device Id,First Seen,Last device update,OS Platform,OS Distribution,OS Version,OS Build,Windows 10 Version,Tags,Group,Is AAD Joined,Device IPs,Device MACs,Risk Level,Exposure Level,Health Status,Onboarding Status,Device Role,Cloud Platforms,Is Internet Facing,Enrollment Status Code,Managed By,Enrollment Status,Vendor,Model
1965abcf7bc2438b6d225e03196073bb420d1cdc,"pl-pr-w3g-sgvn",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-05 11:22:35,2026-06-08 12:22:38,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.169.144, 127.0.0.1, fe80::92:491f:4cc6:5044, ::1","0A-25-7C-13-AD-F5, 0A-25-7C-13-AD-F5, 0A-25-7C-13-AD-F5, 0A-25-7C-13-AD-F5",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
58a41c13d274d4dcc9336b2628d77173dfdcffbd,"pl-dv-w3g-poea",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-05 12:21:14,2026-06-08 13:21:14,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.188.107, 127.0.0.1, fe80::53f4:8451:581d:8694, ::1","02-97-8E-34-BE-93, 02-97-8E-34-BE-93, 02-97-8E-34-BE-93, 02-97-8E-34-BE-93",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
71459474a29bd853897d4e58491070e7a0b45963,"ec2amaz-b8cpo81",Computers and Mobile,Server,Server,"Defender for Endpoint",Workgroup,,2026-06-08 11:07:37,2026-06-08 11:07:37,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.170.182, 127.0.0.1, fe80::5db8:bdf7:350a:ef16, ::1","0A-46-97-B8-E1-F5",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
092eedb561fd691f430601b4e07c8c95a958fd87,"ec2amaz-l1scli1",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 12:12:51,2026-06-08 12:12:52,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.190.119, 127.0.0.1, fe80::9cea:943f:b4c7:9e7b, ::1","02-50-00-10-6B-F9, 02-50-00-10-6B-F9, 02-50-00-10-6B-F9, 02-50-00-10-6B-F9",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
764bd3ae956c192b52f3fe45b76093fc7cd98ead,"ec2amaz-v4thj7r",Computers and Mobile,Server,Server,"Defender for Endpoint",Workgroup,,2026-06-08 11:07:37,2026-06-08 11:07:37,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.169.198, 127.0.0.1, fe80::4c82:adf5:df51:1b04, ::1","0A-10-5F-65-B6-C5",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
4bb8a59970e1910abc21ce1a02a498650ae2aa89,"ec2amaz-ebh57md",Computers and Mobile,Server,Server,"Defender for Endpoint",Workgroup,,2026-06-08 12:07:44,2026-06-08 12:07:44,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.189.12, 127.0.0.1, fe80::d646:bcdd:aaca:3bc3, ::1","02-04-C9-11-66-75",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
75147264e1dd17ed77ceac5725f9e5fe719cb3f5,"pl-qa-sql-01",Computers and Mobile,Server,Server,"Defender for Endpoint,Defender for Cloud",progresslearning.dc,,2026-02-27 13:34:35,2026-06-08 11:57:05,WindowsServer2022,"WindowsServer2022","21H2",20348,21H2,"",0,False,"172.31.189.99, 127.0.0.1, fe80::d7e:daf1:4193:ec01, ::1","02-08-24-2B-79-19, 02-08-24-2B-79-19, 02-08-24-2B-79-19, 02-08-24-2B-79-19",No known risks,Medium,Active,Onboarded,"DatabaseServer","Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
93166e9e6cc2aac9509dbdee8479c364da2df699,"ec2amaz-2fkal8d",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-08 11:12:28,2026-06-08 11:17:35,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.167.139, 127.0.0.1, fe80::f5f7:f3c2:bb76:ae8c, ::1","02-7E-A5-9B-BF-35, 02-7E-A5-9B-BF-35, 02-7E-A5-9B-BF-35, 02-7E-A5-9B-BF-35",No known risks,Medium,Active,Onboarded,,"Aws",False,NotEnrolled,Unknown,Unknown,,
154bd72187a868d65acd559270998ff2b0a31af4,"ip-c613022e",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-02-27 13:34:21,2026-06-08 21:24:08,Windows,"Windows","Other",,,"",0,False,"172.31.35.135","",No known risks,No data available,Active,Insufficient info,"DomainController",,False,Unknown,Unknown,Unknown,,
f9d74f2987d67737eb3d7e15bfa7c427ae2c1f66,"pl-pr-w3g-9e40",Computers and Mobile,Server,Server,"Defender for Endpoint",progresslearning.dc,,2026-06-05 11:21:54,2026-06-08 12:06:55,WindowsServer2025,"WindowsServer2025","24H2",26100,24H2,"",0,False,"172.31.167.238, 127.0.0.1, fe80::971f:5ec0:4aba:d2c7, ::1","02-A7-FB-13-9E-75, 02-A7-FB-13-9E-75, 02-A7-FB-13-9E-75, 02-A7-FB-13-9E-75",No known risks,Medium,Active,Onboarded,,"Arc,Aws",False,NotEnrolled,Unknown,Unknown,,
